"Type","Inputs","Farmer","Gender","Site","ranef","Yield"
"B","0",6,"Female","X",-1.83985074847506,7.76892838632353
"C","0",6,"Female","X",-1.83985074847506,6.01849476301081
"A","100",6,"Female","X",-1.83985074847506,8.75011439377128
"B","100",6,"Female","X",-1.83985074847506,7.21495898979121
"C","100",6,"Female","X",-1.83985074847506,13.3194711478174
"A","200",6,"Female","X",-1.83985074847506,11.7882763964579
"B","200",6,"Female","X",-1.83985074847506,7.4963720045914
"C","200",6,"Female","X",-1.83985074847506,16.822116970052
"A","0",7,"Female","X",0.124807864545962,13.9695178948475
"B","0",7,"Female","X",0.124807864545962,10.4803676345367
"C","0",7,"Female","X",0.124807864545962,13.1047165351207
"A","100",7,"Female","X",0.124807864545962,16.2430316460714
"B","100",7,"Female","X",0.124807864545962,10.4706931431171
"C","100",7,"Female","X",0.124807864545962,16.0724739446653
"A","200",7,"Female","X",0.124807864545962,16.5880580660974
"B","200",7,"Female","X",0.124807864545962,9.90326543875735
"C","200",7,"Female","X",0.124807864545962,11.9656414884184
"A","0",8,"Male","X",1.12027551907754,10.411975189361
"B","0",8,"Male","X",1.12027551907754,11.445010547302
"C","0",8,"Male","X",1.12027551907754,10.6391351263553
"A","100",8,"Male","X",1.12027551907754,14.4675171181356
"B","100",8,"Male","X",1.12027551907754,15.5369140450139
"C","100",8,"Male","X",1.12027551907754,13.1788468294854
"A","200",8,"Male","X",1.12027551907754,15.6957980102279
"B","200",8,"Male","X",1.12027551907754,11.071607327186
"C","200",8,"Male","X",1.12027551907754,24.0214293871367
"A","0",9,"Male","Y",-0.797472472495496,8.84760628332227
"B","0",9,"Male","Y",-0.797472472495496,3.1174255385594
"C","0",9,"Male","Y",-0.797472472495496,5.33785821439102
"A","100",9,"Male","Y",-0.797472472495496,6.64598353109425
"B","100",9,"Male","Y",-0.797472472495496,5.96997140993619
"C","100",9,"Male","Y",-0.797472472495496,4.60087859856719
"A","200",9,"Male","Y",-0.797472472495496,5.90267981962468
"B","200",9,"Male","Y",-0.797472472495496,9.51336262248968
"C","200",9,"Male","Y",-0.797472472495496,9.73381827259895
"A","0",10,"Female","Y",0.838352590701219,5.21954420770786
"B","0",10,"Female","Y",0.838352590701219,9.36922554150152
"C","0",10,"Female","Y",0.838352590701219,8.56947005244339
"A","100",10,"Female","Y",0.838352590701219,6.41424093170805
"B","100",10,"Female","Y",0.838352590701219,14.0443353529248
"C","100",10,"Female","Y",0.838352590701219,7.61732694019168
"A","200",10,"Female","Y",0.838352590701219,3.69023707889433
"B","200",10,"Female","Y",0.838352590701219,8.69118762171099
"C","200",10,"Female","Y",0.838352590701219,7.86176476790671
"A","0",11,"Female","Y",-0.81890670849068,4.88137318308054
"B","0",11,"Female","Y",-0.81890670849068,6.34503107480242
"C","0",11,"Female","Y",-0.81890670849068,3.17288252289072
"A","100",11,"Female","Y",-0.81890670849068,7.71741483370666
"B","100",11,"Female","Y",-0.81890670849068,9.50488006620188
"C","100",11,"Female","Y",-0.81890670849068,5.7666930811577
"A","200",11,"Female","Y",-0.81890670849068,6.09214779591082
"B","200",11,"Female","Y",-0.81890670849068,9.29154100793404
"C","200",11,"Female","Y",-0.81890670849068,8.78227164307321
"A","0",12,"Male","Y",-1.56387180495444,6.59538815240764
"B","0",12,"Male","Y",-1.56387180495444,6.49783157504874
"C","0",12,"Male","Y",-1.56387180495444,4.64658015294754
"A","100",12,"Male","Y",-1.56387180495444,4.86056476891828
"B","100",12,"Male","Y",-1.56387180495444,8.3703867337378
"C","100",12,"Male","Y",-1.56387180495444,5.49235378120025
"A","200",12,"Male","Y",-1.56387180495444,5.34629859205413
"B","200",12,"Male","Y",-1.56387180495444,6.52780600234513
"C","200",12,"Male","Y",-1.56387180495444,7.05188154295742
"A","0",13,"Male","Y",-0.0226618548718873,7.74762714344673
"B","0",13,"Male","Y",-0.0226618548718873,4.44782730222328
"C","0",13,"Male","Y",-0.0226618548718873,8.66834165853571
"A","100",13,"Male","Y",-0.0226618548718873,6.0794611605104
"B","100",13,"Male","Y",-0.0226618548718873,6.22989852867823
"C","100",13,"Male","Y",-0.0226618548718873,6.46429935090304
"A","200",13,"Male","Y",-0.0226618548718873,3.51444140238995
"B","200",13,"Male","Y",-0.0226618548718873,9.8101940242662
"C","200",13,"Male","Y",-0.0226618548718873,9.00279655668586
"A","0",14,"Male","Y",3.24246426071595,7.38490794315035
"B","0",14,"Male","Y",3.24246426071595,12.5539084067224
"C","0",14,"Male","Y",3.24246426071595,5.64480262490378
"A","100",14,"Male","Y",3.24246426071595,12.0378290481134
"B","100",14,"Male","Y",3.24246426071595,10.2457936379954
"C","100",14,"Male","Y",3.24246426071595,7.85666551962347
"A","200",14,"Male","Y",3.24246426071595,11.4783143578684
"B","200",14,"Male","Y",3.24246426071595,14.2791211875607
"C","200",14,"Male","Y",3.24246426071595,12.7250487159333
"A","0",15,"Male","Y",-0.682909258324664,5.26440779207258
"B","0",15,"Male","Y",-0.682909258324664,5.4934308492089
"C","0",15,"Male","Y",-0.682909258324664,7.09209877480473
"A","100",15,"Male","Y",-0.682909258324664,7.22269699176475
"B","100",15,"Male","Y",-0.682909258324664,10.4980785804732
"C","100",15,"Male","Y",-0.682909258324664,3.35072615474453
"A","200",15,"Male","Y",-0.682909258324664,3.14366334227712
"B","200",15,"Male","Y",-0.682909258324664,12.418929013957
"C","200",15,"Male","Y",-0.682909258324664,4.00488660436545
"A","0",16,"Female","Z",-1.72441991550245,6.12805565923948
"B","0",16,"Female","Z",-1.72441991550245,3.85097336957099
"C","0",16,"Female","Z",-1.72441991550245,6.22783525003931
"A","100",16,"Female","Z",-1.72441991550245,13.4504857887817
"B","100",16,"Female","Z",-1.72441991550245,7.16493141312837
"C","100",16,"Female","Z",-1.72441991550245,8.96327640137255
"A","200",16,"Female","Z",-1.72441991550245,14.0306125682933
"B","200",16,"Female","Z",-1.72441991550245,14.0334431065834
"C","200",16,"Female","Z",-1.72441991550245,14.8800399540163
"A","0",17,"Female","Z",-0.792167401989072,10.522337195954
"B","0",17,"Female","Z",-0.792167401989072,7.79114902539837
"C","0",17,"Female","Z",-0.792167401989072,8.85931762588015
"A","100",17,"Female","Z",-0.792167401989072,11.0756883570884
"B","100",17,"Female","Z",-0.792167401989072,10.2347749059661
"C","100",17,"Female","Z",-0.792167401989072,10.3109251564075
"A","200",17,"Female","Z",-0.792167401989072,12.1031819652423
"B","200",17,"Female","Z",-0.792167401989072,14.4186254032014
"C","200",17,"Female","Z",-0.792167401989072,14.9149698567221
"A","0",18,"Female","Z",0.888413466607603,8.63357102183219
"B","0",18,"Female","Z",0.888413466607603,7.06439968481349
"C","0",18,"Female","Z",0.888413466607603,8.42794141279428
"A","100",18,"Female","Z",0.888413466607603,7.8652563253295
"B","100",18,"Female","Z",0.888413466607603,10.8981586871759
"C","100",18,"Female","Z",0.888413466607603,12.0484111621542
"A","200",18,"Female","Z",0.888413466607603,16.8798990326367
"B","200",18,"Female","Z",0.888413466607603,13.1697545163862
"C","200",18,"Female","Z",0.888413466607603,16.8734711743536
"A","0",19,"Female","Z",-2.77467371284687,9.55550928735334
"B","0",19,"Female","Z",-2.77467371284687,6.404501462493
"C","0",19,"Female","Z",-2.77467371284687,5.33722643319963
"A","100",19,"Female","Z",-2.77467371284687,15.1740504344538
"B","100",19,"Female","Z",-2.77467371284687,6.19680280091917
"C","100",19,"Female","Z",-2.77467371284687,6.93045265062343
"A","200",19,"Female","Z",-2.77467371284687,8.62572257717913
"B","200",19,"Female","Z",-2.77467371284687,7.5513897998553
"C","200",19,"Female","Z",-2.77467371284687,10.8136154263535
"A","0",20,"Male","Z",1.47218452642995,14.0371173625815
"B","0",20,"Male","Z",1.47218452642995,5.80487515260185
"C","0",20,"Male","Z",1.47218452642995,14.4411639611919
"A","100",20,"Male","Z",1.47218452642995,13.1583714810002
"B","100",20,"Male","Z",1.47218452642995,14.8821492609851
"C","100",20,"Male","Z",1.47218452642995,12.2254714761888
"A","200",20,"Male","Z",1.47218452642995,14.9760845393734
"B","200",20,"Male","Z",1.47218452642995,11.1925250457329
"C","200",20,"Male","Z",1.47218452642995,17.0292479097566
